time,open,high,low,close,green,red,sell,buy
2023-02-08 14:00:00,158.225,158.342,158.2,158.331,64.26040947780099,52.37004670550282,True,False
2023-02-08 15:15:00,158.556,158.677,158.534,158.57,85.2643350301497,84.85488944435473,True,False
2023-02-08 15:45:00,158.469,158.594,158.44,158.594,68.76239853408485,75.08817388820376,False,True
2023-02-08 19:30:00,158.6,158.665,158.584,158.6,31.058934949685625,39.1896349561843,False,True
2023-02-08 21:45:00,158.58,158.588,158.521,158.565,51.68762537898385,59.29521550030379,False,True
2023-02-08 22:45:00,158.553,158.655,158.536,158.617,47.8297520903408,33.85393063376497,True,False
2023-02-09 01:30:00,158.515,158.585,158.507,158.565,67.82633638616541,49.66124277339903,True,False
2023-02-09 03:00:00,158.642,158.95,158.624,158.86,74.36228681777042,55.85941025562395,True,False
2023-02-09 09:45:00,158.752,158.756,158.596,158.617,26.795164681834333,51.526362572327336,False,True
2023-02-09 10:30:00,158.773,158.952,158.706,158.762,47.18097804479762,29.615567803879937,True,False
2023-02-09 13:30:00,159.043,159.094,159.019,159.047,74.82498824057112,70.21888935112504,True,False
2023-02-09 14:15:00,159.006,159.079,158.883,158.96,47.45960836389842,63.53266028831766,False,True
2023-02-09 16:45:00,159.107,159.163,159.055,159.095,78.0340852563071,70.10991393939094,True,False
2023-02-09 18:30:00,159.309,159.312,159.18,159.269,61.20075002746416,78.1811452745033,False,True
2023-02-10 00:45:00,159.357,159.372,159.173,159.265,46.53873571854971,52.7677049453989,False,True
2023-02-10 01:45:00,159.322,159.385,159.321,159.332,58.811816841573126,48.694316932394855,True,False
2023-02-10 02:45:00,159.422,159.44,159.295,159.399,53.00005220390514,69.45757388114617,False,True
2023-02-10 04:15:00,159.372,159.392,159.191,159.231,16.931335959174536,35.873059667157314,False,True
2023-02-10 05:15:00,159.201,159.26,159.19,159.2,9.740839773839674,13.484870090851269,False,True
2023-02-10 05:45:00,159.251,159.328,159.251,159.32,55.41261993428455,30.100588004080006,True,False
2023-02-10 07:30:00,159.337,159.419,159.33,159.372,64.15144095131797,52.665550484324314,True,False
2023-02-10 09:15:00,159.12,159.16,158.07,158.356,26.240562010431887,42.0422068305246,False,True
2023-02-10 10:45:00,157.957,158.124,157.834,158.1,37.628965326275676,20.63959169395504,True,False
2023-02-10 12:00:00,158.426,158.572,158.299,158.541,49.58795258763903,60.978720196409675,False,True
2023-02-10 13:00:00,158.551,158.643,158.516,158.566,64.54414930051745,51.32587565871705,True,False
2023-02-10 13:45:00,158.406,158.441,158.24,158.416,38.95211251686318,54.51467099682069,False,True
2023-02-10 14:45:00,158.313,158.425,158.269,158.312,28.520576804328176,43.2601517596593,False,True
2023-02-10 15:45:00,158.238,158.346,158.206,158.317,30.716641417158908,22.136619632541443,True,False
2023-02-10 17:30:00,158.762,158.805,158.676,158.721,76.75704275704238,83.56269259333527,False,True
2023-02-10 19:00:00,158.584,158.643,158.52,158.529,29.69702459127805,37.99062982227007,False,True
2023-02-10 20:00:00,158.435,158.54,158.43,158.539,28.344748426483193,14.527167730489731,True,False
2023-02-10 21:30:00,158.483,158.527,158.441,158.456,28.844670462701448,52.36653019208634,False,True
2023-02-10 22:30:00,158.426,158.453,158.403,158.418,19.609778541288133,15.11712985954984,True,False
